GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring_spotify,spotify.spring_spotify.service,ArtistService,570,4,34,0,103,1,34,1,17,1
spring_spotify,spotify.spring_spotify.service,FileService,259,4,24,0,56,1,18,1,6,1
spring_spotify,spotify.spring_spotify.service,GenreService,181,0,8,0,35,0,12,0,8,0
spring_spotify,spotify.spring_spotify.service,PaymentService,313,4,24,0,80,1,23,1,8,1
spring_spotify,spotify.spring_spotify.service,UserService,628,0,38,0,121,0,40,0,21,0
spring_spotify,spotify.spring_spotify.service,AuthService,354,85,21,3,89,17,24,3,13,2
spring_spotify,spotify.spring_spotify.service,RoleService,101,4,8,0,19,1,7,1,3,1
spring_spotify,spotify.spring_spotify.service,PermissionService,55,0,4,0,10,0,5,0,3,0
spring_spotify,spotify.spring_spotify.service,PlaylistService,615,0,38,0,119,0,34,0,15,0
spring_spotify,spotify.spring_spotify.service,SongService,792,0,62,0,137,0,45,0,14,0
spring_spotify,spotify.spring_spotify.service,ForgotPasswordService,136,4,2,0,30,1,9,1,8,1
spring_spotify,spotify.spring_spotify.service,EmailService,139,0,8,0,35,0,8,0,4,0
spring_spotify,spotify.spring_spotify.service,SearchByPriorityService,209,4,4,0,40,1,8,1,6,1
spring_spotify,spotify.spring_spotify.service,AlbumService,632,4,46,0,120,1,39,1,16,1
spring_spotify,spotify.spring_spotify.util,VNPayUtil,170,0,16,0,36,0,15,0,7,0
spring_spotify,spotify.spring_spotify.controller,RoleController,37,0,0,0,15,0,3,0,3,0
spring_spotify,spotify.spring_spotify.controller,SearchByPriorityController,15,0,0,0,5,0,1,0,1,0
spring_spotify,spotify.spring_spotify.controller,ArtistController,84,0,0,0,30,0,6,0,6,0
spring_spotify,spotify.spring_spotify.controller,UserController,105,0,0,0,40,0,8,0,8,0
spring_spotify,spotify.spring_spotify.controller,PaymentController,54,4,2,0,13,1,4,1,3,1
spring_spotify,spotify.spring_spotify.controller,FileController,70,4,4,0,20,1,4,1,2,1
spring_spotify,spotify.spring_spotify.controller,AlbumController,97,0,0,0,35,0,7,0,7,0
spring_spotify,spotify.spring_spotify.controller,GenreController,67,0,0,0,25,0,5,0,5,0
spring_spotify,spotify.spring_spotify.controller,SongController,114,0,0,0,40,0,8,0,8,0
spring_spotify,spotify.spring_spotify.controller,PermissionController,37,0,0,0,15,0,3,0,3,0
spring_spotify,spotify.spring_spotify.controller,AuthController,113,13,2,0,45,5,9,1,8,1
spring_spotify,spotify.spring_spotify.controller,PlaylistController,112,0,0,0,40,0,8,0,8,0
spring_spotify,spotify.spring_spotify,SpringSpotifyApplication,5,3,0,0,2,1,1,1,1,1
spring_spotify,spotify.spring_spotify.exception,SpotifyException,0,8,0,0,0,3,0,1,0,1
spring_spotify,spotify.spring_spotify.exception,FileException,4,0,0,0,2,0,1,0,1,0
spring_spotify,spotify.spring_spotify.exception,ErrorCode,0,336,0,0,0,38,0,1,0,1
spring_spotify,spotify.spring_spotify.exception,GlobalException,114,53,0,2,33,13,6,4,6,3
spring_spotify,spotify.spring_spotify.specification,ArtistSpecification,55,0,0,0,8,0,4,0,4,0
spring_spotify,spotify.spring_spotify.specification,SongSpecification.new Specification() {...},18,0,0,0,2,0,2,0,2,0
spring_spotify,spotify.spring_spotify.specification,ArtistSpecification.new Specification() {...},18,0,0,0,2,0,2,0,2,0
spring_spotify,spotify.spring_spotify.specification,AlbumSpecification,55,0,0,0,8,0,4,0,4,0
spring_spotify,spotify.spring_spotify.specification,PlaylistSpecification,55,0,0,0,8,0,4,0,4,0
spring_spotify,spotify.spring_spotify.specification,SongSpecification,55,0,0,0,8,0,4,0,4,0
spring_spotify,spotify.spring_spotify.specification,PlaylistSpecification.new Specification() {...},18,0,0,0,2,0,2,0,2,0
spring_spotify,spotify.spring_spotify.specification,AlbumSpecification.new Specification() {...},18,0,0,0,2,0,2,0,2,0
spring_spotify,spotify.spring_spotify.constant,RoleEnum,21,0,0,0,4,0,1,0,1,0
